Source.Name,SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL,SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
redfin_2021-12-30-21-40-26.csv,PAST SALE,5/3/2021,Single Family Residential,2503 Terrett Ave,Alexandria,VA,22301,1318750,4,3,ABINGDON,2020,4840,1924,241,653,,Sold,,,https://www.redfin.com/VA/Alexandria/2503-Terrett-Ave-22301/home/11844561,BRIGHT MLS,VAAX2003020,N,Y,38.8280932,-77.0554345
redfin_2021-12-30-21-40-26.csv,PAST SALE,3/30/2021,Single Family Residential,3901 Cook St,Alexandria,VA,22311,1203050,5,4.5,HIGHLAND VIEW,4668,16736,2002,275,258,,Sold,,,https://www.redfin.com/VA/Alexandria/3901-Cook-St-22311/home/9835094,BRIGHT MLS,VAFX1182520,N,Y,38.8391119,-77.1310503
redfin_2021-12-30-21-40-26.csv,PAST SALE,2/19/2021,Single Family Residential,6019 Grove Dr,Alexandria,VA,22307,775000,3,2,BELLE HAVEN,1680,7200,1937,314,461,,Sold,,,https://www.redfin.com/VA/Alexandria/6019-Grove-Dr-22307/home/9762065,BRIGHT MLS,VAFX1178958,N,Y,38.7871827,-77.0640691
redfin_2021-12-30-21-40-26.csv,PAST SALE,3/26/2021,Single Family Residential,6101 Yellowstone Dr,Alexandria,VA,22312,590000,3,1.5,PARKLAWN,1692,10800,1955,279,349,,Sold,,,https://www.redfin.com/VA/Alexandria/6101-Yellowstone-Dr-22312/home/9653284,BRIGHT MLS,VAFX1181928,N,Y,38.8347783,-77.1385171
redfin_2021-12-30-21-40-26.csv,PAST SALE,3/29/2021,Single Family Residential,4100 Summit Pl,Alexandria,VA,22312,665999,5,2.5,PARKLAWN,2340,12743,1955,276,285,,Sold,,,https://www.redfin.com/VA/Alexandria/4100-Summit-Pl-22312/home/9653035,BRIGHT MLS,VAFX1181110,N,Y,38.8359367,-77.1453032
redfin_2021-12-30-21-40-26.csv,PAST SALE,8/3/2021,Single Family Residential,6026 Grove Dr,Alexandria,VA,22307,1250000,5,3.5,BELLE HAVEN,3260,12700,1952,149,383,,Sold,,,https://www.redfin.com/VA/Alexandria/6026-Grove-Dr-22307/home/9762047,BRIGHT MLS,VAFX1196132,N,Y,38.787374,-77.0646987
redfin_2021-12-30-21-40-26.csv,PAST SALE,7/29/2021,Single Family Residential,420 E Windsor Ave,Alexandria,VA,22301,928500,2,2,DEL RAY,2340,5750,1933,154,397,,Sold,,,https://www.redfin.com/VA/Alexandria/420-E-Windsor-Ave-22301/home/11844651,BRIGHT MLS,VAAX260408,N,Y,38.8253141,-77.0525111
redfin_2021-12-30-21-40-26.csv,PAST SALE,5/21/2021,Single Family Residential,6213 Berlee Dr,Alexandria,VA,22312,730000,4,2.5,HEYWOOD GLEN,1720,8475,1972,223,424,,Sold,,,https://www.redfin.com/VA/Alexandria/6213-Berlee-Dr-22312/home/9723716,BRIGHT MLS,VAFX1195324,N,Y,38.8300132,-77.1413709
redfin_2021-12-30-21-40-26.csv,PAST SALE,4/26/2021,Single Family Residential,5278 Winter View Dr,Alexandria,VA,22312,1100000,5,4.5,OVERLOOK,3040,5314,1999,248,362,128,Sold,,,https://www.redfin.com/VA/Alexandria/5278-Winter-View-Dr-22312/home/9724598,BRIGHT MLS,VAFX1184838,N,Y,38.8077872,-77.1466064
redfin_2021-12-30-21-40-26.csv,PAST SALE,6/30/2021,Single Family Residential,6319 Olmi Landrith Dr,Alexandria,VA,22307,3875000,4,6,BUCKNELL BELLE HAVEN EST,7803,113086,1951,183,497,,Sold,,,https://www.redfin.com/VA/Alexandria/6319-Olmi-Landrith-Dr-22307/home/9762017,BRIGHT MLS,VAFX1158634,N,Y,38.7796073,-77.066568
redfin_2021-12-30-21-40-26.csv,PAST SALE,5/7/2021,Single Family Residential,5101 Redwing Dr,Alexandria,VA,22312,925000,5,4,MEYERS ADDITION INDIAN R,2980,28431,1968,237,310,,Sold,,,https://www.redfin.com/VA/Alexandria/5101-Redwing-Dr-22312/home/9724364,BRIGHT MLS,VAFX1191662,N,Y,38.8131168,-77.1616153
redfin_2021-12-30-21-40-26.csv,PAST SALE,1/29/2021,Single Family Residential,6624 Spring Valley Dr,Alexandria,VA,22312,715000,4,3,OAK RUN PARK,2715,20003,1962,335,263,,Sold,,,https://www.redfin.com/VA/Alexandria/6624-Spring-Valley-Dr-22312/home/9722200,BRIGHT MLS,VAFX1165136,N,Y,38.8152763,-77.172354
redfin_2021-12-30-21-40-26.csv,PAST SALE,7/30/2021,Single Family Residential,6142 Stegen Dr,Alexandria,VA,22310,950000,4,3.5,FLORENCE OVERLOOK,3108,9147,1996,153,306,28,Sold,,,https://www.redfin.com/VA/Alexandria/6142-Stegen-Dr-22310/home/9759910,BRIGHT MLS,VAFX2001122,N,Y,38.7819701,-77.0891375
